country,iso3,continent,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,AFG,Asia,0,0,0,0.0
Albania,ALB,Europa,89,132,54,4.9
Algeria,DZA,Africa,25,0,14,0.7
Andorra,AND,Europa,245,138,312,12.4
Angola,AGO,Africa,217,57,45,5.9
Antigua & Barbuda,ATG,América,102,128,45,4.9
Argentina,ARG,América,193,25,221,8.3
Armenia,ARM,Asia,21,179,11,3.8
Australia,AUS,Oceanía,261,72,212,10.4
Austria,AUT,Europa,279,75,191,9.7
Azerbaijan,AZE,Asia,21,46,5,1.3
Bahamas,BHS,America,122,176,51,6.3
Bahrain,BHR,Asia,42,63,7,2.0
Bangladesh,BGD,Asia,0,0,0,0.0
Barbados,BRB,America,143,173,36,6.3
Belarus,BLR,Europa,142,373,42,14.4
Belgium,BEL,Europa,295,84,212,10.5
Belize,BLZ,America,263,114,8,6.8
Benin,BEN,africa,34,4,13,1.1
Bhutan,BTN,Asia,23,0,0,0.4
Bolivia,BOL,America,167,41,8,3.8
Bosnia-Herzegovina,BIH,Europa,76,173,8,4.6
Botswana,BWA,Africa,173,35,35,5.4
Brazil,BRA,America,245,145,16,7.2
Brunei,BRN,ASIA,31,2,1,0.6
Bulgaria,BGR,Europa,231,252,94,10.3
Burkina Faso,BFA,Africa,25,7,7,4.3
Burundi,BDI,Africa,88,0,0,6.3
Cote d'Ivoire,CIV,África,37,1,7,4.0
Cabo Verde,CPV,Africa,144,56,16,4.0
Cambodia,KHM,ASIA,57,65,1,2.2
Cameroon,CMR,Africa,147,1,4,5.8
Canada,CAN,America,240,122,100,8.2
Central African Republic,CAF,Africa,17,2,1,1.8
Chad,TCD,Africa,15,1,1,0.4
Chile,CHL,AMERICA,130,124,172,7.6
China,CHN,Asia,79,192,8,5.0
Colombia,COL,America,159,76,3,4.2
Comoros,COM,Africa,1,3,1,0.1
Congo,COD,Africa,76,1,9,1.7
Cook Islands,COK,OceANia,0,254,74,5.9
Costa Rica,CRI,AMERICA,149,87,11,4.4
Croatia,HRV,Europa,230,87,254,10.2
Cuba,CUB,America,93,137,5,4.2
Cyprus,CYP,Asia,192,154,113,8.2
Czech Republic,CZE,Europa,361,170,134,11.8
North Korea,PRK,Asia,0,0,0,0.0
Denmark,DNK,Europa,224,81,278,10.4
Djibouti,DJI,Africa,15,44,3,1.1
Dominica,DMA,America,52,286,26,6.6
Dominican Republic,DOM,America,193,147,9,6.2
Ecuador,ECU,America,162,74,3,4.2
Egypt,EGY,africa,6,4,1,0.2
El Salvador,SLV,America,52,69,2,2.2
Equatorial Guinea,GNQ,Africa,92,0,233,5.8
Eritrea,ERI,Africa,18,0,0,0.5
Estonia,EST,Europa,224,194,59,9.5
Ethiopia,ETH,Africa,20,3,0,0.7
Fiji,FJI,Oceania,77,35,1,2.0
Finland,FIN,Europa,263,133,97,10.0
France,FRA,Europa,127,151,370,11.8
Gabon,GAB,Africa,347,98,59,8.9
Gambia,GMB,Africa,8,0,1,2.4
Georgia,GEO,ASIA,52,100,149,5.4
Germany,DEU,Europa,346,117,175,11.3
Ghana,GHA,Africa,31,3,10,1.8
Greece,GRC,Europa ,133,112,218,8.3
Grenada,GRD,AMERICA,199,438,28,11.9
Guatemala,GTM,AMERICa ,53,69,2,2.2
Guinea,GIN,Africa,9,0,2,0.2
Guinea-Bissau,GNB,Africa,28,31,21,2.5
Guyana,GUY,America,93,302,1,7.1
Haiti,HTI,America,1,326,1,5.9
Honduras,HND,America,69,98,2,3.0
Hungary,HUN,Europa,234,215,185,11.3
Iceland,ISL,Europa,233,61,78,6.6
India,IND,Asia,9,114,0,2.2
Indonesia,IDN,Asia,5,1,0,0.1
Iran,IRN,Asia,0,0,0,0.0
Iraq,IRQ,Asia,9,3,0,0.2
Ireland,IRL,Europa,313,118,165,11.4
Israel,ISR,Asia,63,69,9,2.5
Italy,ITA,Europa,85,42,237,6.5
Jamaica,JAM,America,82,97,9,3.4
Japan,JPN,Asia,77,202,16,7.0
Jordan,JOR,Asia,6,21,1,0.5
Kazakhstan,KAZ,Asia,124,246,12,6.8
Kenya,KEN,Africa,58,22,2,1.8
Kiribati,KIR,Oceaniaa,21,34,1,1.0
Kuwait,KWT,Asia,0,0,0,0.0
Kyrgyzstan,KGZ,Asia,31,97,6,2.4
Laos,LAO,Asia,62,0,123,6.2
Latvia,LVA,Europa,281,216,62,10.5
Lebanon,LBN,Asia,20,55,31,1.9
Lesotho,LSO,Africa,82,29,0,2.8
Liberia,LBR,AFRICA,19,152,2,3.1
Libya,LBY,AFRICA,0,0,0,0.0
Lithuania,LTU,Europa,343,244,56,12.9
Luxembourg,LUX,Europa,236,133,-271,11.4
Madagascar,MDG,Africa,26,15,4,0.8
Malawi,MWI,Africa,8,11,1,1.5
Malaysia,MYS,Asia,13,4,0,0.3
Maldives,MDV,Asia,0,0,0,0.0
Mali,MLI,Africa,5,1,1,0.6
Malta,MLT,Europa,149,100,120,6.6
Marshall Islands,MHL,Oceania,0,0,0,0.0
Mauritania,MRT,Africa,0,0,0,0.0
Mauritius,MUS,Africa,98,31,18,2.6
Mexico,MEX,America,238,68,5,5.5
Micronesia,FSM,Oceania,62,-50,18,2.3
Monaco,MCO,Europa,0,0,0,0.0
Mongolia,MNG,Asia,77,189,8,4.9
Montenegro,MNE,Europa,31,114,128,4.9
Morocco,MAR,Africa,12,6,10,0.5
Mozambique,MOZ,Africa,47,18,5,0
Myanmar,MMR,Asia,5,1,0,0.1
Namibia,NAM,Africa,376,3,1,0
Nauru,NRU,OCEANIA,49,0,8,1.0
Nepal,NPL,Asia,5,6,0,0.2
Netherlands,NLD,Europa,251,88,190,9.4
New Zealand,NZL,Oceania,203,79,175,9.3
Nicaragua,NIC,America,78,118,1,3.5
Niger,NER,Africa,3,2,1,0.1
Nigeria,NGA,Africa,42,5,2,9.1
Norway,NOR,Europa,169,71,129,6.7
Oman,OMN,Asia,22,16,1,0.7
Pakistan,PAK,Asia,0,0,0,0.0
Palau,PLW,Oceania,306,63,23,6.9
Panama,PAN,America,285,104,-18,7.2
Papua New Guinea,PNG,Oceania,44,39,1,1.5
Paraguay,PRY,America,213,117,74,7.3
Peru,PER,America,163,160,21,6.1
Philippines,PHL,Asia,71,186,1,4.6
Poland,POL,Europa,343,215,56,10.9
Portugal,PRT,Europa,194,67,339,11.0
Qatar,QAT,Asia,1,42,7,0.9
South Korea,KOR,Asia,140,16,9,9.8
Moldova,MDA,Europa,109,226,18,6.3
Romania,ROU,Europa,297,122,167,10.4
Russian Federation,RUS,Europa,247,326,73,11.5
Rwanda,RWA,Africa,43,2,0,6.8
St. Kitts & Nevis,KNA,America,194,205,-32,7.7
St. Lucia,LCA,America ,171,315,71,10.1
St. Vincent & the Grenadines,VCT,America ,120,221,11,6.3
Samoa,WSM,Oceania,105,18,24,2.6
San Marino,SMR,Europa,0,0,0,10.4
Sao Tome & Principe,STP,Africa,56,38,140,4.2
Saudi Arabia,SAU,Asia,0,5,0,100000
Senegal,SEN,Africa,9,1,7,0.3
Serbia,SRB,Europa,283,131,127,0
Seychelles,SYC,Africa,157,25,51,4.1
Sierra Leone,SLE,Africa,25,3,2,6.7
Singapore,SGP,Asia,60,12,11,1.5
Slovakia,SVK,Europa,196,293,116,11.4
Slovenia,SVN,Europa,270,51,276,10.6
Solomon Islands,SLB,Oceania,56,11,1,1.2
Somalia,SOM,Africa,0,0,0,0.0
South Africa,ZAF,Africa,225,76,81,-8.2
Spain,ESP,Europa,284,157,112,10.0
Sri Lanka,LKA,Asia,16,104,0,2.2
Sudan,SDN,Africa,8,13,0,1.7
Suriname,SUR,America,128,178,7,5.6
Swaziland,SWZ,Africa,90,2,2,4.7
Sweden,SWE,Europa,152,60,186,7.2
Switzerland,CHE,Europa,185,100,280,10.2
Syria,SYR,Asia,5,35,16,1.0
Tajikistan,TJK,Asia,2,15,0,0.3
Thailand,THA,Asia,99,258,1,6.4
Macedonia,MKD,Europa,106,27,86,3.9
